date,site,species,no,vol
29-May,sm,acegla,9,
29-May,sm,acegla,10,
29-May,sm,alnvir,8,
29-May,sm,amealn,2,
29-May,sm,amealn,9,
29-May,sm,amealn,10,
29-May,sm,amelan,8,
29-May,sm,betpap,8,
29-May,sm,betpap,9,
29-May,sm,betpap,10,
29-May,sm,betpap,13,
29-May,sm,corsto,11,
29-May,sm,loninv,6,
29-May,sm,roasaci,4,
29-May,sm,roasaci,7,
29-May,sm,rosaci,8,
29-May,sm,rosaci,9,
29-May,sm,rosaci,10,
29-May,sm,rubpar,4,
29-May,sm,rubpar,5,
29-May,sm,rubpar,7,
29-May,sm,rubpar,10,
29-May,sm,spibet,1,
29-May,sm,spibet,2,
29-May,sm,spibet,3,
29-May,sm,spibet,4,
29-May,sm,spibet,5,
29-May,sm,spibet,6,
29-May,sm,spibet,7,
29-May,sm,spibet,8,
29-May,sm,spibet,9,
29-May,sm,spibet,10,
29-May,sm,symalb,4,
29-May,sm,symalb,11,
29-May,sm,vibedu,7,
29-May,sm,vibedu,12,
30-May,sm,acegla,2,
30-May,sm,acegla,11,
30-May,sm,alninc,8,
30-May,sm,alnvir,1,
30-May,sm,alnvir,7,
30-May,sm,betpap,2,
30-May,sm,betpap,4,
30-May,sm,betpap,7,
30-May,sm,corsto,2,
30-May,sm,corsto,3,
30-May,sm,corsto,4,
30-May,sm,corsto,5,
30-May,sm,loninv,7,
30-May,sm,loninv,8,
30-May,sm,loninv,9,
30-May,sm,popbal,1,
30-May,sm,popbal,8,
30-May,sm,rhoalb,2,
30-May,sm,rhoalb,3,
30-May,sm,rhoalb,4,
30-May,sm,rubpar,6,
30-May,sm,shecan,1,
30-May,sm,sorsco,1,
30-May,sm,sorsco,4,
30-May,sm,symalb,7,
30-May,sm,vibedu,1,
30-May,sm,vibedu,9,
30-May,sm,vibedu,10,
31-May,sm,amealn,1,
31-May,sm,amealn,3,
31-May,sm,amealn,4,
31-May,sm,amealn,5,
31-May,sm,amealn,6,
31-May,sm,amealn,7,
31-May,sm,betpap,1,
31-May,sm,loninv,1,
31-May,sm,loninv,2,
31-May,sm,poptre,7,
31-May,sm,poptre,10,
31-May,sm,poptre,11,
31-May,sm,poptre,12,
31-May,sm,poptre,13,
31-May,sm,poptre,14,
31-May,sm,rhoalb,1,
31-May,sm,rhoalb,5,
31-May,sm,rhoalb,6,
31-May,sm,rhoalb,7,
31-May,sm,rhoalb,8,
31-May,sm,rhoalb,9,
31-May,sm,rhoalb,10,
31-May,sm,riblac,2,
31-May,sm,riblac,3,
31-May,sm,riblac,9,
31-May,sm,rosaci,1,
31-May,sm,rosaci,2,
31-May,sm,rosaci,5,
31-May,sm,rubida,1,
31-May,sm,rubida,2,
31-May,sm,rubida,6,
31-May,sm,rubida,7,
31-May,sm,rubida,8,
31-May,sm,rubida,9,
31-May,sm,rubida,10,
31-May,sm,spidou,1,
31-May,sm,spidou,2,
31-May,sm,spidou,3,
31-May,sm,spidou,4,
31-May,sm,spidou,5,
31-May,sm,spidou,6,
31-May,sm,spidou,7,
31-May,sm,spidou,8,
31-May,sm,spidou,9,
31-May,sm,spidou,10,
31-May,sm,symalb,5,
31-May,sm,symalb,6,
31-May,sm,symalb,9,
31-May,sm,vibedu,8,
01-Jun,sm,acegla,7,
01-Jun,sm,acegla,8,
01-Jun,sm,acegla,13,
01-Jun,sm,acegla,14,
01-Jun,sm,acegla,15,
01-Jun,sm,alninc,1,
01-Jun,sm,alninc,2,
01-Jun,sm,alninc,3,
01-Jun,sm,alninc,4,
01-Jun,sm,alninc,5,
01-Jun,sm,betpap,5,
01-Jun,sm,betpap,6,
01-Jun,sm,betpap,7_2,
01-Jun,sm,corsto,6,
01-Jun,sm,corsto,7,
01-Jun,sm,corsto,8,
01-Jun,sm,corsto,10,
01-Jun,sm,corsto,12,
01-Jun,sm,corsto,13,
01-Jun,sm,corsto,14,
01-Jun,sm,loninv,3,
01-Jun,sm,popbal,10,
01-Jun,sm,rosaci,3,
01-Jun,sm,rosaci,6,
01-Jun,sm,rubpar,8,
01-Jun,sm,rubpar,9,
01-Jun,sm,shecan,6,
01-Jun,sm,shecan,7,
01-Jun,sm,shecan,8,
01-Jun,sm,shecan,9,
01-Jun,sm,shecan,10,
01-Jun,sm,shecan,11,
01-Jun,sm,shecan,12,
01-Jun,sm,sorsco,5,
01-Jun,sm,sorsco,7,
01-Jun,sm,sorsco,11,
01-Jun,sm,spipyr,1,
01-Jun,sm,spipyr,2,
01-Jun,sm,spipyr,3,
01-Jun,sm,spipyr,4,
01-Jun,sm,spipyr,5,
01-Jun,sm,spipyr,6,
01-Jun,sm,spipyr,7,
01-Jun,sm,spipyr,8,
01-Jun,sm,spipyr,9,
01-Jun,sm,spipyr,10,
01-Jun,sm,symalb,8,
01-Jun,sm,symalb,12,
03-Jun,sm,alninc,1,2.13
03-Jun,sm,alnvir,1,2.55
03-Jun,sm,alnvir,2,2.36
03-Jun,sm,alnvir,2,3.25
03-Jun,sm,alnvir,9,2.55
03-Jun,sm,alnvir,10,2.63
03-Jun,sm,loninv,4,2.23
03-Jun,sm,menfer,4,1.65
03-Jun,sm,menfer,6,1.92
03-Jun,sm,menfer,7,1.51
03-Jun,sm,menfer,8,2.4
03-Jun,sm,menfer,9,2.1
03-Jun,sm,poptre,15,4.3
03-Jun,sm,poptre,16,3.7
03-Jun,sm,poptre,17,2.83
03-Jun,sm,riblac,5,1.66
03-Jun,sm,riblac,6,1.72
03-Jun,sm,riblac,7,1.21
03-Jun,sm,riblac,11,2.32
03-Jun,sm,riblac,12,1.39
03-Jun,sm,rubida,11,2.11
03-Jun,sm,rubida,12,4.69
03-Jun,sm,rubpar,1,1.98
03-Jun,sm,rubpar,2,1.54
03-Jun,sm,rubpar,3,2.31
03-Jun,sm,samrac,2,2.74
03-Jun,sm,samrac,4,3.34
03-Jun,sm,samrac,5,2.51
03-Jun,sm,samrac,6,2.29
03-Jun,sm,samrac,7,2.28
03-Jun,sm,sorsco,6,2.61
03-Jun,sm,sorsco,12,3.22
03-Jun,sm,vacmem,1,2.2
03-Jun,sm,vacmem,2,2.3
03-Jun,sm,vacmem,3,2.35
03-Jun,sm,vacmem,4,1.8
03-Jun,sm,vacmem,5,1.8
03-Jun,sm,vacmem,6,1.2
03-Jun,sm,vacmem,7,1.91
03-Jun,sm,vibedu,5,2.43
04-Jun,sm,acegla,3,3
04-Jun,sm,alnvir,6,2.51
04-Jun,sm,alnvir,19,2.35
04-Jun,sm,alnvir,20,2.83
04-Jun,sm,loninv,5,1.17
04-Jun,sm,loninv,11,1.52
04-Jun,sm,menfer,10,1.24
04-Jun,sm,menfer,11,1.07
04-Jun,sm,menfer,12,1.17
04-Jun,sm,menfer,13,1.47
04-Jun,sm,menfer,14,1.24
04-Jun,sm,popbal,3,4.26
04-Jun,sm,popbal,5,2.73
04-Jun,sm,popbal,6,3.25
04-Jun,sm,popbal,9,2.78
04-Jun,sm,popbal,11,3.29
04-Jun,sm,popbal,12,3.22
04-Jun,sm,popbal,20,3.48
04-Jun,sm,poptre,2,3.33
04-Jun,sm,poptre,3,3.65
04-Jun,sm,poptre,4,3.57
04-Jun,sm,poptre,5,2.74
04-Jun,sm,poptre,18,2.69
04-Jun,sm,poptre,19,2.85
04-Jun,sm,riblac,8,1.51
04-Jun,sm,riblac,10,2.15
04-Jun,sm,riblac,12_2,1.25
04-Jun,sm,rubida,5,2.52
04-Jun,sm,samrac,3,1.73
04-Jun,sm,samrac,8,2.4
04-Jun,sm,samrac,9,2.9
04-Jun,sm,samrac,10,3.64
04-Jun,sm,samrac,11,3.42
04-Jun,sm,sorsco,9,3.06
04-Jun,sm,sorsco,10,3.52
04-Jun,sm,sorsco,12_02,3.25
04-Jun,sm,symalb,2,1.81
04-Jun,sm,symalb,12_02,1.46
04-Jun,sm,symalb,9_02,2.54
04-Jun,sm,vacmem,8,3.02
04-Jun,sm,vacmem,9,2.7
04-Jun,sm,vacmem,10,2.65
04-Jun,sm,vibedu,11_02,2.83
05-Jun,sm,alninc,19,5.82
05-Jun,sm,alninc,20,5.46
05-Jun,sm,alnvir,16,
05-Jun,sm,alnvir,17,2.34
05-Jun,sm,alnvir,18,2.8
05-Jun,sm,rosaci,20,1.33
05-Jun,sm,shecan,5,2.15
05-Jun,sm,shecan,16,1.65
05-Jun,sm,vibedu,19,2.55
05-Jun,sm,vibedu,20,3.05
11-Jun,afrf,acegla,3,3.42
11-Jun,afrf,alninc,1,4.67
11-Jun,afrf,alninc,9,2.61
11-Jun,afrf,alninc,10,4.53
11-Jun,afrf,amealn,1,2.34
11-Jun,afrf,amealn,2,5.06
11-Jun,afrf,amealn,3,2.38
11-Jun,afrf,amealn,5,3.23
11-Jun,afrf,betpap,1,3.86
11-Jun,afrf,betpap,7,3.43
11-Jun,afrf,betpap,8,2.94
11-Jun,afrf,betpap,9,4.36
11-Jun,afrf,betpap,10,4.01
11-Jun,afrf,betpap,11,3.24
11-Jun,afrf,corsto,1,2.43
11-Jun,afrf,corsto,4,2.22
11-Jun,afrf,corsto,5,2.45
11-Jun,afrf,loninv,2,1.94
11-Jun,afrf,loninv,3,1.59
11-Jun,afrf,popbal,1,3.84
11-Jun,afrf,popbal,2,3.82
11-Jun,afrf,popbal,3,4.38
11-Jun,afrf,poptre,10,2.9
11-Jun,afrf,rosaci,2,3.03
11-Jun,afrf,rosaci,3,3.57
11-Jun,afrf,rosaci,5,4.42
11-Jun,afrf,rubida ,1,3.27
11-Jun,afrf,rubpar,4,2.67
11-Jun,afrf,rubspe,1,2.55
11-Jun,afrf,rubspe,7,3.08
11-Jun,afrf,samrac,1,5.29
11-Jun,afrf,samrac,3,5.86
11-Jun,afrf,samrac,9,5.4
11-Jun,afrf,shecan,1,2.71
11-Jun,afrf,shecan,4,3.34
11-Jun,afrf,shecan,5,4.07
11-Jun,afrf,sorsco,2,4.94
11-Jun,afrf,spibet,2,2.04
11-Jun,afrf,spibet,5,1.59
11-Jun,afrf,spibet,11,1.59
11-Jun,afrf,spibet,12,1.52
11-Jun,afrf,spibet ,06_02,0.91
11-Jun,afrf,symalb,4,3.8
11-Jun,afrf,symalb,11,3.48
12-Jun,afrf,alninc,20,4.05
12-Jun,afrf,alnvir,20,3.3
12-Jun,afrf,betpap,2_june12,5.24
12-Jun,afrf,betpap,3,3.52
12-Jun,afrf,betpap,4,3.4
12-Jun,afrf,betpap,5,3.5
12-Jun,afrf,betpap ,6,3.58
12-Jun,afrf,loninv,1,2.79
12-Jun,afrf,loninv,3_jun12,3.76
12-Jun,afrf,popbal,2,3
12-Jun,afrf,riblac,1,1.29
12-Jun,afrf,riblac,2,2.7
12-Jun,afrf,riblac,20,2.04
12-Jun,afrf,rosaci,1,2.68
12-Jun,afrf,rubspe,10,1.12
12-Jun,afrf,sorsco,3,2.68
12-Jun,afrf,spibet,1,0.93
12-Jun,afrf,spibet,20,1.06
12-Jun,afrf,spidou,1,1.7
12-Jun,afrf,spidou,20,1.72
12-Jun,afrf,spipyr,1,0.99
12-Jun,afrf,spipyr,19,1.96
12-Jun,afrf,symalb,1,2.48
12-Jun,afrf,symalb,2,2.89
12-Jun,afrf,vacmem,1,1.99
12-Jun,afrf,vacmem,20,2.54
12-Jun,afrf,vibedu,1,3.99
12-Jun,afrf,vibedu,3,2.83
13-Jun,afrf,acegla,5,3.08
13-Jun,afrf,acegla,6,3.43
13-Jun,afrf,acegla,7,4.11
13-Jun,afrf,acegla,8,3.31
13-Jun,afrf,acegla,9,3.61
13-Jun,afrf,acegla,10,3.01
13-Jun,afrf,corsto,3,3.59
13-Jun,afrf,loninv,8,2.37
13-Jun,afrf,poptre,6,
13-Jun,afrf,poptre,7,4.03
13-Jun,afrf,poptre,8,3.89
13-Jun,afrf,poptre,9,3.67
13-Jun,afrf,poptre,11,3.31
13-Jun,afrf,rosaci,4,2.37
13-Jun,afrf,rubpar,2,2.68
13-Jun,afrf,rubpar,3,3.81
13-Jun,afrf,shecan,2,2.19
13-Jun,afrf,shecan,3,2.58
13-Jun,afrf,sorsco,3,2.76
13-Jun,afrf,spibet,4,0.82
13-Jun,afrf,spibet,13,1.28
13-Jun,afrf,spibet,14,2.29
13-Jun,afrf,spidou,2,1.9
13-Jun,afrf,spidou,4,1.7
13-Jun,afrf,spidou,19,1.69
13-Jun,afrf,spidou,19_02,2.34
13-Jun,afrf,spipyr,2,2.91
13-Jun,afrf,spipyr,16,2.35
13-Jun,afrf,spipyr,17,1.94
13-Jun,afrf,spipyr,18,2.05
13-Jun,afrf,symalb,3,3.16
13-Jun,afrf,vibedu,3,2.64
22-Jun,mp,alninc,5,3.04
22-Jun,mp,alninc,9,3.8
22-Jun,mp,alninc,10,3.54
22-Jun,mp,alnrub,5,3.62
22-Jun,mp,alnrub,6,4.21
22-Jun,mp,alnrub,7,3.5
22-Jun,mp,alnvir,6,3.41
22-Jun,mp,alnvir,7,4.56
22-Jun,mp,alnvir,8,3.19
22-Jun,mp,amealn,12,2.75
22-Jun,mp,corsto,6,3.57
22-Jun,mp,corsto,7,2.7
22-Jun,mp,corsto,8,3.12
22-Jun,mp,corsto,9,2.84
22-Jun,mp,corsto,10,3.24
22-Jun,mp,menfer,1,1.41
22-Jun,mp,menfer,8,1.89
